venue_id,lat,lon,cat,top_cat,name,users,checkins
4d5867d2c82da09086771f26,45.456383,-73.63933,Auditorium,Colleges & Universities,TEDxConcordia 2011,43,57
4ad4c06af964a52017f920e3,45.520058,-73.55456,Gay Bar,Nightlife Spots,Le Drugstore,422,878
4c262895c11dc9b645632824,45.508965,-73.61784,Corporate ' Office,,La Fabrique De Blogs,7,38
4dbf2e99cda12687c82ebdae,45.503815,-73.57066,Voting Booth,Professional & Other Places,Diocese,2,2
4bd717776f6495219ae771ec,45.495384,-73.57853,Mediterranean,Food,Lunchbox,40,90
4d9faf21fc4f721ed348a55f,45.55095,-73.53406,French,Food,Le Morgane,3,3
4b43967ff964a520cde325e3,45.495632,-73.579414,Coffee Shop,Food,Starbucks,716,2432
4db2d04af7b121c29f27f00d,45.508884,-73.62143,Church,Professional & Other Places,St-George's Cathedral,16,50
4cf7c93bdc40a35d18444f54,45.456566,-73.49109,Fast Food,Food,Subway,10,38
4d711ad91529a143bd1e96a0,45.548904,-73.574554,Furniture ' Home,,L Heureux Bouddha,1,1
4bfb22b3d0382d7fae55c90a,45.469566,-73.832054,Middle Eastern,Food,Amir,40,85
4cfa86eec6cca35dd0d78632,45.567158,-73.58878,Pharmacy,Shops & Services,Pharmacie Jean-coutu,19,28
4b22d11df964a520194e24e3,45.512115,-73.56171,Asian,Food,Restaurant Pho 2000,97,133
4d99a43dd1bca09063a774b4,45.501156,-73.58085,Apartment Building,Residences,Mountain Place Apartments,2,7
4df211bc1f6e818dadfabb83,45.42934,-73.82475,Bakery,Food,Les Moulins Lafayette Pointe-Claire,16,20
4b439e68f964a52079e425e3,45.497795,-73.579445,Bookstore,Colleges & Universities,Concordia Co-op Bookstore,16,18
4b37f71ff964a5205a4925e3,45.484337,-73.79565,Chinese,Food,"Fu Lam Buffet, Wok & Grill",21,39
4b8d6257f964a52088f832e3,45.60059,-73.56636,uncategorized,,Second Cup Anjou,30,131
4dd4af58b0fb7a332e6f79fe,45.507282,-73.6767,Home,Residences,Icitte! Ouai!,4,33
4b22e73df964a520005024e3,45.52432,-73.59554,Asian,Food,Soy,148,210
4d70fb78766da1437ace56ad,45.50157,-73.56765,uncategorized,,Fondation Du Grand MontrAal,3,20
4bc0daaaabf495218e02c093,45.499016,-73.574745,Beauty ' Cosmetic,,LV Nails,44,98
4d0e81a25b8a8cfaf9a1ea83,45.592327,-73.5436,Sporting Goods,Shops & Services,Sports Experts,33,43
